"","Name","ID","Affiliation","Cites","H_Index","Quartile"
"101","Pablo Valenzuela","cyKIMlUAAAAJ","PUC",29,3,3
"102","Cristóbal Bellolio B.","8L8S57cAAAAJ","UAI",28,3,3
"103","Bernardo Mackenna","UALXeUMAAAAJ","UCSD",25,3,3
"104","Giovanni Agostinis","u9c4q20AAAAJ","PUC",25,3,3
"105","Rodolfo Disi Pavlic","xFcbnmMAAAAJ","UCT",23,3,3
"106","Macarena Valenzuela Beltrán","xP-7heoAAAAJ","UDP",18,3,3
"107","Susana Gazmuri","ZOmEt88AAAAJ","PUC",48,2,4
"108","Camilo Vial","IOab2sQAAAAJ","UA",20,2,4
"109","Waleska Muñoz Aravena","ihALyKUAAAAJ","UDEC",19,2,4
"110","Christopher A Martínez","37hEwq8AAAAJ","UCT",14,2,4
"111","Karen Manzano Iturra","grB28SkAAAAJ","USACH",14,2,4
"112","Ely Orrego Torres","89bS-lkAAAAJ","NWU",13,2,4
"113","Nicole Darat","EQrjT5sAAAAJ","UAI",13,2,4
"114","Lisa Zanotti","f9up4NwAAAAJ","GRIFFITH",11,2,4
"115","Violeta Montero","21Iq__YAAAAJ","UDEC",6,2,4
"116","Ross Mittiga","o4ZnQNsAAAAJ","PUC",5,2,4
"117","Antonio Canale-Mayet","dFcoyfMAAAAJ","IL",5,2,4
"118","Ximena Soto Soutullo","r2q0t8cAAAAJ&hl","KCL",45,1,4
"119","Federico Rojas-de-Galarreta","hTyE9WAAAAAJ","PUC",39,1,4
"120","Carolina Acevedo","KNKPs0EAAAAJ","PUC",16,1,4
"121","Germán Campos-Herrera","zWIsBT8AAAAJ","UDP",6,1,4
"122","Katherine Figueroa Aillañir","1vOi_OsAAAAJ","UDEC",5,1,4
"123","Mariol Virgili Lillo","pr35r24AAAAJ","UDEC",5,1,4
"124","Hugo Jofré","9JmWI5MAAAAJ","UCHILE",3,1,4
"125","Jose de la Cruz Garrido","Q8J28ZcAAAAJ","UDD",3,1,4
"126","Laura Levick","otugCsoAAAAJ","USACH",3,1,4
"127","Cristóbal Sandoval Rojo","aw7lNr4AAAAJ","UDP",2,1,4
"128","Shirley Gotz","MsPC8uwAAAAJ","UAH",2,1,4
"129","Daniel Santibañez Guerrero","B7eJM_0AAAAJ","USACH",1,1,4
"130","Gonzalo Espinoza Bianchini","0cEbNnwAAAAJ","UDP",1,1,4
"131","Luis Clavería Cambón","8jETtdIAAAAJ","USACH",1,1,4
"132","Matthias Erlandsen","HA5_6QUAAAAJ","PUC",1,1,4
"133","Andrés Stark Azócar","mQwDWagAAAAJ","UAI",0,0,4
"134","Claudio Fuentes-González","vLROxScAAAAJ","UA",0,0,4
"135","Fernando Schmidt","wXHJZ4oAAAAJ","UDD",0,0,4
"136","Francisca Lisbona Saavedra","8BB7GS4AAAAJ","UDP",0,0,4
"137","Jaime Contreras Alvarez","QeDE2BwAAAAJ","UDEC",0,0,4
"138","Marcelo Marzouka","kj503iEAAAAJ","PUC",0,0,4
"139","Sebastián Carrasco","CrQouUsAAAAJ","UMAYOR",0,0,4
