"","Name","ID","Affiliation","Cites","H_Index","Quartile"
"75","Catherine Reyes-Housholder","8WfwsloAAAAJ","UDP-COES",59,4,3
"76","Carsten-Andreas Schulz","FfBVmgkAAAAJ","PUC",54,4,3
"77","Máximo Quitral Rojas","Iz7nUN8AAAAJ","UTEM",52,4,3
"78","Cecilia Osorio Gonnet","Y9qxhQ8AAAAJ","UAH",51,4,3
"79","Ignacio Arana Araya","ws3YSrkAAAAJ","CMU",50,4,3
"80","Daniel Brieba","s112cUYAAAAJ","UAI",46,4,3
"81","Rene Jara","oeRXDWkAAAAJ","USACH",39,4,3
"82","Roberto Mardones","99rI_qsAAAAJ","UCT",36,4,3
"83","Anthony A. Pezzola","U_YqfqAAAAAJ","WU",33,4,3
"84","María Gabriela Cordova","YDPznzAAAAAJ","ULAGOS",66,3,3
"85","Jose M. Cabezas","ie78OmcAAAAJ","UMAYOR",54,3,3
"86","Daniel Flores Cáceres","VQKPXBMAAAAJ","ULAGOS",49,3,3
"87","Nicolás Del Valle Orellana","800PtAYAAAAJ","IIPSS",43,3,3
"88","Diego Rossello","-MWiRrUAAAAJ","UAI",42,3,3
"89","Juan Pablo Araya-Orellana","eDBbeDcAAAAJ","UCHILE",34,3,3
"90","Felipe Schwember","YAryivQAAAAJ","UAI",33,3,3
"91","Rodrigo Cuevas","MVRwJT0AAAAJ","USACH",31,3,3
"92","Victor Tricot Salomon","O7DOqCcAAAAJ","unk.",31,3,3
"93","Pablo Valenzuela","cyKIMlUAAAAJ","PUC",30,3,3
"94","Bernardo Mackenna","UALXeUMAAAAJ","UCSD",25,3,3
"95","Rodolfo Disi Pavlic","xFcbnmMAAAAJ","UCT",22,3,3
"96","Jaime Contreras Alvarez","QeDE2BwAAAAJ","UDEC",19,3,3
"97","Macarena Valenzuela Beltrán","xP-7heoAAAAJ","UDP",14,3,3
"98","Susana Gazmuri","ZOmEt88AAAAJ","PUC",39,2,4
"99","Cristóbal Bellolio B.","8L8S57cAAAAJ","UAI",22,2,4
"100","Waleska Muñoz Aravena","ihALyKUAAAAJ","UDEC",20,2,4
"101","Camilo Vial","IOab2sQAAAAJ","UA",18,2,4
"102","Christopher A Martínez","37hEwq8AAAAJ","UCT",13,2,4
"103","Karen Manzano Iturra","grB28SkAAAAJ","USACH",13,2,4
"104","Ely Orrego Torres","89bS-lkAAAAJ","NWU",11,2,4
"105","Nicole Darat","EQrjT5sAAAAJ","UAI",10,2,4
"106","Violeta Montero","21Iq__YAAAAJ","UDEC",5,2,4
"107","Lisa Zanotti","f9up4NwAAAAJ","UDP-Leiden",6,1,4
"108","Hugo Jofré","9JmWI5MAAAAJ","UCHILE",3,1,4
"109","Jose de la Cruz Garrido","Q8J28ZcAAAAJ","UDD",3,1,4
"110","Katherine Figueroa Aillañir","1vOi_OsAAAAJ","UDEC",3,1,4
"111","Laura Levick","otugCsoAAAAJ","USACH",3,1,4
"112","Mariol Virgili Lillo","pr35r24AAAAJ","UDEC",3,1,4
"113","Cristóbal Sandoval Rojo","aw7lNr4AAAAJ","UDP",2,1,4
"114","Shirley Gotz","MsPC8uwAAAAJ","UAH",2,1,4
"115","Daniel Santibañez Guerrero","B7eJM_0AAAAJ","USACH",1,1,4
"116","Germán Campos-Herrera","zWIsBT8AAAAJ","UDP",1,1,4
"117","Gonzalo Espinoza Bianchini","0cEbNnwAAAAJ","UDP",1,1,4
"118","Luis Clavería Cambón","8jETtdIAAAAJ","USACH",1,1,4
"119","Matthias Erlandsen","HA5_6QUAAAAJ","PUC",1,1,4
"120","Andrés Stark Azócar","mQwDWagAAAAJ","UAI",0,0,4
"121","Claudio Fuentes-González","vLROxScAAAAJ","UA",0,0,4
"122","Fernando Schmidt","wXHJZ4oAAAAJ","UDD",0,0,4
"123","Francisca Lisbona Saavedra","8BB7GS4AAAAJ","UDP",0,0,4
"124","Marcelo Marzouka","kj503iEAAAAJ","PUC",0,0,4
"125","Sebastián Carrasco","CrQouUsAAAAJ","UMAYOR",0,0,4
